name,survey,n_obs,baseline_d,mag_median,amplitude,period_ls,power_ls,fap_ls,sl_ls,cov_ls,has_minent,period_me,entropy_me,sl_me,cov_me,dP,dP_rel,agree,harmonic
OGLE_0e,OGLE,1198,2713.8410000000003,16.014499999999998,0.3301499999999997,0.62827896507363,0.7666410083095923,0.0,73.10141161470195,1.0,False,,,,,,,False,
OGLE_0f,OGLE,670,2246.8068699999994,15.236,0.6125500000000006,3.113729220416343,0.7543687629109161,2.167991233619027e-199,16.946973327664566,1.0,False,,,,,,,False,
OGLE_10,OGLE,895,5181.846880000085,19.332,0.3619000000000021,0.9973750653078772,0.15036693459236133,5.68909746847132e-28,155.251547143695,0.95,False,,,,,,,False,
OGLE_11,OGLE,700,5174.85783999972,18.486,0.3531499999999994,1.8483049201737682,0.10061309481992685,1.0901997443071193e-12,37.7005879439092,1.0,False,,,,,,,False,
OGLE_12,OGLE,746,2246.85124,15.435,0.21799999999999997,1.9744117850173235,0.9551368113206233,0.0,42.91416132019275,1.0,True,1.9742382995949848,1.1515787332224923,49.978719150253454,1.0,0.0001734854223387483,8.787461086857593e-05,True,≈ P_ME
OGLE_13,OGLE,436,2233.8686,14.488,0.32399999999999984,4.654020320472939,0.7939136733387104,9.813624477316548e-145,11.030075886955553,1.0,False,,,,,,,False,
OGLE_14,OGLE,113,495.80229000002146,15.937,0.4181999999999988,0.1594896398075368,0.8618984798051554,1.866125786324257e-44,8.944751890155278,1.0,False,,,,,,,False,
OGLE_15,OGLE,5754,5195.859850000124,20.192,0.575999999999997,0.22612042749367506,0.2384921227348484,0.0,761.9943479808501,1.0,False,,,,,,,False,
OGLE_16,OGLE,229,1968.5820400000002,15.532,0.11660000000000181,0.1003315987859569,0.987546351182023,2.44185227407499e-211,20.70768487750352,1.0,True,0.10033108743421804,1.144821777719534,21.8410170690947,1.0,5.113517388688482e-07,5.096643044002841e-06,True,≈ P_ME
OGLE_17,OGLE,470,2246.8200400000005,18.898,0.703750000000003,0.5234924186322382,0.7214647768228348,7.090932046585313e-126,40.807593562945584,1.0,False,,,,,,,False,
OGLE_18,OGLE,490,2243.96543,15.784,0.5001000000000015,3.1410642338452637,0.739108454834189,2.556009041192823e-138,11.402477747922084,1.0,False,,,,,,,False,
OGLE_19,OGLE,487,2216.9382300000007,17.004,0.4117000000000033,0.861350357666159,0.8822725237300781,7.053106668325328e-221,22.502710533552353,1.0,False,,,,,,,False,
OGLE_1a,OGLE,671,2246.8068699999994,15.07,0.4560000000000013,3.3361118044948475,0.7694458113151827,7.246878916202684e-209,10.37539181198452,1.0,False,,,,,,,False,
OGLE_1b,OGLE,100,4598.117659999989,14.8605,0.23819999999999908,0.17233024632195157,0.9499350530344579,6.969789335190585e-60,8.752051666366048,1.0,False,,,,,,,False,
OGLE_1c,OGLE,2000,2676.82272,15.98,0.27999999999999936,0.3652080869909635,0.8078214726928373,0.0,174.71600004380457,1.0,False,,,,,,,False,
OGLE_1d,OGLE,596,2394.7114199999996,17.012,0.17275000000000063,0.12487563220459064,0.08761021548767185,1.2805406692748157e-08,158.38895368644575,1.0,False,,,,,,,False,
OGLE_1e,OGLE,524,2246.94402,16.5935,0.6540999999999997,1.7613497531048974,0.6767945025304976,4.8262132925776256e-124,11.338461725960348,1.0,False,,,,,,,False,
OGLE_1f,OGLE,104,404.8767400000015,17.9045,0.3146500000000003,0.17733735966900127,0.1917993852098144,0.0262399092554817,26.19222749081847,1.0,False,,,,,,,False,
OGLE_20,OGLE,770,2246.85124,15.687,0.17600000000000016,1.565220845855314,0.9641730519329945,0.0,34.27188786049333,1.0,True,1.5652208458553925,0.8892234221511329,34.27188786011207,1.0,-7.838174553853605e-14,-5.0077115792372714e-14,True,≈ P_ME
OGLE_21,OGLE,1377,3501.7463100000004,14.205,0.036000000000001364,0.997144372275067,0.034336288659602726,7.121886469558852e-07,315.99903424919586,0.85,False,,,,,,,False,
OGLE_22,OGLE,209,2236.8866499999995,18.859,0.5065999999999988,0.5733418297653825,0.6320706091871594,1.1997672370202513e-41,19.681496048283975,1.0,False,,,,,,,False,
OGLE_23,OGLE,146,2505.169240000001,17.6095,0.2497499999999988,0.13324434932545268,0.6354452835265934,1.4250683952420082e-28,20.093150981975125,1.0,False,,,,,,,False,
OGLE_24,OGLE,467,2708.8188,15.97,0.2900000000000009,0.2688391892979466,0.9398478137266503,4.778325548518217e-279,21.691269776557924,1.0,False,,,,,,,False,
OGLE_25,OGLE,496,2246.9436799999994,15.628499999999999,0.22824999999999918,1.8886730411083188,0.9747982312481962,0.0,17.881006922552785,1.0,True,1.8886730411082504,0.6965464578155425,17.8810069227327,1.0,6.838973831690964e-14,3.6210469905780714e-14,True,≈ P_ME
OGLE_26,OGLE,121,1598.8619799999997,15.368,0.2400000000000002,0.29885906369330206,0.9790251430539282,1.3912836177454518e-95,7.439030035399102,1.0,True,0.2988590636933145,0.7183363861144388,7.439030035444551,1.0,-1.2434497875801753e-14,-4.1606561039627304e-14,True,≈ P_ME
OGLE_27,OGLE,438,2232.93149,16.691499999999998,0.10829999999999984,0.781320844966272,0.9327458466019938,6.515513932411506e-251,31.738424659671377,1.0,False,,,,,,,False,
OGLE_28,OGLE,5773,5195.8374299998395,18.572,0.15300000000000225,3.561759894111938,0.03081342627868245,7.753587742498217e-35,691.9806338832063,1.0,False,,,,,,,False,
OGLE_29,OGLE,128,3284.0477799996734,14.438500000000001,0.25125000000000064,0.26177922290125666,0.9718343606453977,1.9204792759061204e-93,8.70914189710936,1.0,True,0.2617813096220476,0.8220876838943042,11.066572062411115,1.0,-2.0867207909391894e-06,-7.97123673172824e-06,True,≈ P_ME
OGLE_2a,OGLE,719,2421.6348900000003,15.356,0.28609999999999935,0.3007060384788868,0.9171518692767993,0.0,59.48809140381068,1.0,False,,,,,,,False,
OGLE_2b,OGLE,5680,5195.859850000124,18.366,0.36599999999999966,1.013809302947746,0.2947149900313764,0.0,385.81834575128045,1.0,False,,,,,,,False,
OGLE_2c,OGLE,384,5179.892140000127,14.418,0.14785000000000004,0.21999696384787523,0.9679208295480299,1.553650962921079e-280,21.025681466326613,1.0,True,0.2199960294952391,0.9722270836693131,23.853107452534367,1.0,9.343526361227372e-07,4.247134088131156e-06,True,≈ P_ME
OGLE_2d,OGLE,606,2076.58086,15.157499999999999,0.19775000000000098,2.556553016574094,0.9867396618733187,0.0,21.713270139487555,1.0,True,2.5565530165740107,0.7578411104297167,21.71327013954056,1.0,8.348877145181177e-14,3.265677297148077e-14,True,≈ P_ME
OGLE_2e,OGLE,378,2221.0187799999994,15.8945,0.3171499999999998,2.5429516880429697,0.7837208190556368,4.503944778382065e-121,15.301049516667652,1.0,False,,,,,,,False,
